created_at,unit_index,hour_of_day,day_of_week,adset_name,adset_impressions,adset_impressions_diff,adset_settings_total_budget,adset_settings_daily_budget,adset_settings_maximum_daily_impressions,adset_settings_maximum_lifetime_impressions,adset_settings_runtime_in_hours,adset_settings_remaining_hours,adset_settings_running_hours,adset_targetings_total_population,adset_settings_maximum_cpm,adset_targetings_frequency_capping_requests,adset_settings_bidding_strategy,adset_settings_pacing_type
2024-07-17 08:04:53.452,1,8,Wednesday,AdBundle,365517.0,2306.0,272250,19446,72128.0,1009800.0,336,205,130,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-17 09:05:00.257,0,9,Wednesday,Billboard,93880.0,1001.0,295120,21080,18068.0,252960.0,336,204,131,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-17 09:05:00.257,1,9,Wednesday,AdBundle,368340.0,2823.0,272250,19446,72128.0,1009800.0,336,204,131,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-17 10:04:55.688,0,10,Wednesday,Billboard,94763.0,883.0,295120,21080,18068.0,252960.0,336,203,132,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-17 10:04:55.688,1,10,Wednesday,AdBundle,370982.0,2642.0,272250,19446,72128.0,1009800.0,336,203,132,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-17 11:05:01.789,1,11,Wednesday,AdBundle,370982.0,0.0,272250,19446,72128.0,1009800.0,336,202,133,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-17 11:05:01.789,0,11,Wednesday,Billboard,94763.0,0.0,295120,21080,18068.0,252960.0,336,202,133,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-17 12:05:16.211,0,12,Wednesday,Billboard,95691.0,928.0,295120,21080,18068.0,252960.0,336,201,134,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-17 12:05:16.211,1,12,Wednesday,AdBundle,373954.0,2972.0,272250,19446,72128.0,1009800.0,336,201,134,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-17 13:04:58.559,1,13,Wednesday,AdBundle,377346.0,3392.0,272250,19446,72128.0,1009800.0,336,200,135,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-17 13:04:58.559,0,13,Wednesday,Billboard,96581.0,890.0,295120,21080,18068.0,252960.0,336,200,135,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-17 14:05:36.606,0,14,Wednesday,Billboard,98551.0,1970.0,295120,21080,18068.0,252960.0,336,199,136,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-17 14:05:36.606,1,14,Wednesday,AdBundle,385399.0,8053.0,272250,19446,72128.0,1009800.0,336,199,136,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-17 15:04:59.127,0,15,Wednesday,Billboard,99638.0,1087.0,295120,21080,18068.0,252960.0,336,198,137,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-17 15:04:59.127,1,15,Wednesday,AdBundle,390152.0,4753.0,272250,19446,72128.0,1009800.0,336,198,137,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-18 09:05:20.790,0,9,Thursday,Billboard,112019.0,12381.0,295120,21080,18068.0,252960.0,336,180,155,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-18 09:05:20.790,1,9,Thursday,AdBundle,440079.0,49927.0,272250,19446,72128.0,1009800.0,336,180,155,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-18 10:05:08.106,0,10,Thursday,Billboard,112819.0,800.0,295120,21080,18068.0,252960.0,336,179,156,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-18 10:05:08.106,1,10,Thursday,AdBundle,442823.0,2744.0,272250,19446,72128.0,1009800.0,336,179,156,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-18 11:05:01.845,0,11,Thursday,Billboard,112819.0,0.0,295120,21080,18068.0,252960.0,336,178,157,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-18 11:05:01.845,1,11,Thursday,AdBundle,442823.0,0.0,272250,19446,72128.0,1009800.0,336,178,157,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-18 12:05:01.256,1,12,Thursday,AdBundle,449231.0,6408.0,272250,19446,72128.0,1009800.0,336,177,158,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-18 12:05:01.256,0,12,Thursday,Billboard,114407.0,1588.0,295120,21080,18068.0,252960.0,336,177,158,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-18 13:05:48.897,1,13,Thursday,AdBundle,453040.0,3809.0,272250,19446,72128.0,1009800.0,336,176,159,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-18 13:05:48.897,0,13,Thursday,Billboard,115216.0,809.0,295120,21080,18068.0,252960.0,336,176,159,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-18 14:05:02.110,1,14,Thursday,AdBundle,457342.0,4302.0,272250,19446,72128.0,1009800.0,336,175,160,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-18 14:05:02.110,0,14,Thursday,Billboard,116079.0,863.0,295120,21080,18068.0,252960.0,336,175,160,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-18 15:04:53.995,1,15,Thursday,AdBundle,462028.0,4686.0,272250,19446,72128.0,1009800.0,336,174,161,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-18 15:04:53.995,0,15,Thursday,Billboard,117010.0,931.0,295120,21080,18068.0,252960.0,336,174,161,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-18 16:05:44.263,0,16,Thursday,Billboard,118117.0,1107.0,295120,21080,18068.0,252960.0,336,173,162,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-18 16:05:44.263,1,16,Thursday,AdBundle,467029.0,5001.0,272250,19446,72128.0,1009800.0,336,173,162,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-18 17:05:01.329,1,17,Thursday,AdBundle,472310.0,5281.0,272250,19446,72128.0,1009800.0,336,172,163,1439387.0,275,10.0,IntervalBudgetOptimized,Off
2024-07-18 17:05:01.329,0,17,Thursday,Billboard,119110.0,993.0,295120,21080,18068.0,252960.0,336,172,163,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
2024-07-18 18:05:07.371,0,18,Thursday,Billboard,120214.0,1104.0,295120,21080,18068.0,252960.0,336,171,164,1439387.0,1190,10.0,IntervalBudgetOptimized,Off
